Key,English title,French title,Description,Market motivator
getDrivingLicence,get a driving licence,,,
haveSex,have sex,,,
liveAlone,live alone,,,
liveWithoutWorking,live without working,,,
looseWeight,loose weight,,,
makeAWorldTour,make a world tour,,,
makeNewFriends,make new friends,,,
payLessTaxes,pay less taxes,,,
protectMyFamily,protect my family,,,
seeAnEclipse,see an eclipse,,,
seeNorthernLights,see northern lights,,,
swimWithDolphins,swim with dolphins,,,
becomeAPilot,become a pilot,,,
becomeAnAstronaut,become an astronaut,,,
becomeAnExpert,become an expert,,,
becomeHandsome,become handsome,,,
"becomeRich: """"(chaîne)",devenir rich,,,
becomeZeroWaste,become zero waste,,,
boostMyCareer,boost my career,,,
buildMyOwnHouse,build my own house,,,
buyAHouse,buy a house,,,
changeMyJob,boost my career,,,
createACompany,create a company,,,
expandMyNetwork,expand my network,,,
fallInLove,fall in love,,,
findMyDreamjob,find my dreamjob,,,
findTheTruth,find the truth,,,
flyToTheMoon,fly to the moon,,,
